2026-04-17T06:06:27Z	INFO	agent	Detected systemd cgroup driver
2026-04-17T06:06:27Z	INFO	agent	Bootstrapped running tasks from NodeState	{"recovered": 0}
2026-04-17T06:06:27Z	INFO	agent	Agent starting	{"node": "cp0", "interval": "30s"}
2026-04-17T06:06:58Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 243}
2026-04-17T06:06:58Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:06:58Z	INFO	agent	Task started successfully	{"project": "default-memhog-test-memhog", "pod": "memhog-test"}
2026-04-17T06:07:28Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:07:28Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:07:28Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:07:28Z	INFO	agent	Task started successfully	{"project": "default-multiproc-test-sh", "pod": "multiproc-test"}
2026-04-17T06:07:28Z	INFO	agent	Task started successfully	{"project": "default-multiproc-test-memeat1", "pod": "multiproc-test"}
2026-04-17T06:07:28Z	INFO	agent	Task started successfully	{"project": "default-multiproc-test-memeat2", "pod": "multiproc-test"}
2026-04-17T06:07:58Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:07:58Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:07:58Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:08:28Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:08:28Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:08:28Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:08:58Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:08:58Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:08:58Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:09:28Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:09:28Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:09:28Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:09:58Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:09:58Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:09:58Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:10:28Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:10:28Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:10:28Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:10:58Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:10:58Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:10:58Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:11:28Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:11:28Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:11:28Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:11:58Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:11:58Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:11:58Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:12:28Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:12:28Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:12:28Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:12:58Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
2026-04-17T06:12:58Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-17T06:12:58Z	INFO	agent	Matched pod	{"pod": "multiproc-test", "pids": 4, "policy": "etmem-auto"}
2026-04-17T06:13:28Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 244}
